住所,キャッチコピー,タイトル,仕事内容,アピールポイント
愛知県名古屋市中村区名駅一丁目,未経験OK◎もくもく進める倉庫内の仕分け・ピッキング♪,未経験OK｜倉庫内の軽作業スタッフ｜名古屋駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼名古屋駅エリアで募集中／
もくもく進める倉庫内の軽作業◎
未経験からはじめられます
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事って力がいるのでは？」
「経験がないと難しそう…」

扱うのは片手で持てるサイズの商品が中心です。
手順が決まっているので、覚えてしまえば迷いません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 仕分け
伝票やラベルを見て、届け先ごとに商品を分けます。

■ ピッキング
リストの棚番号を頼りに、指定された商品を集めます。

■ 梱包
商品を緩衝材で包み、指定の箱に詰めてラベルを貼ります。

■ 検品
数量と品番がリストと合っているかを確認します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中村区名駅一丁目（名古屋駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市中区金山一丁目,重いものナシ◎コツコツ作業が好きな方にぴったりの軽作業♪,未経験OK｜倉庫内の軽作業スタッフ｜金山駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼金山駅エリアで募集中／
話すより手を動かしたい方へ。倉庫内軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「人と話す仕事は少し苦手」
「自分のペースで進めたい」

倉庫内の作業は、接客も電話対応もありません。
目の前の作業に集中できる環境です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日の担当工程と作業量を確認します。

■ 作業
仕分け・ピッキング・梱包・検品のいずれかを担当します。
工程は日によって変わることがあります。

■ 終わりに
使った資材と作業エリアを片付けて終了です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 手順が決まっているので判断に迷いません
✔ 片手で持てるサイズの商品が中心です
✔ 担当する工程から少しずつ覚えられます
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区金山一丁目（金山駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市中区栄三丁目,接客なし◎マニュアル通りに進める倉庫内の梱包・検品♪,未経験OK｜倉庫内の軽作業スタッフ｜栄駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼栄駅エリアで募集中／
まずは1工程から。倉庫内スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

倉庫の仕事は、覚えることが多そうに見えて
実際に担当するのは決まった工程です。

はじめは 1 つの工程から。
慣れてきたら少しずつ範囲を広げていきます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する工程✧】

■ 仕分け：届け先ごとに商品を分ける
■ ピッキング：リストを見て棚から商品を集める
■ 梱包：緩衝材で包んで箱詰めし、ラベルを貼る
■ 検品：数量と品番をリストと照合する

どの工程も、判断の基準はマニュアルにあります。
自分で決めなければならない場面はほとんどありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 経験・資格は必要ありません
✔ 接客や電話対応はありません
✔ 扱うのは片手で持てるサイズの商品が中心です
✔ 立ち作業と座り作業は工程によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区栄三丁目（栄駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市名東区藤が丘,手順はシンプル◎はじめての倉庫ワークを応援します♪,未経験OK｜倉庫内の軽作業スタッフ｜藤が丘駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼藤が丘駅エリアで募集中／
もくもく進める倉庫内の軽作業◎
未経験からはじめられます
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事って力がいるのでは？」
「経験がないと難しそう…」

扱うのは片手で持てるサイズの商品が中心です。
手順が決まっているので、覚えてしまえば迷いません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 仕分け
伝票やラベルを見て、届け先ごとに商品を分けます。

■ ピッキング
リストの棚番号を頼りに、指定された商品を集めます。

■ 梱包
商品を緩衝材で包み、指定の箱に詰めてラベルを貼ります。

■ 検品
数量と品番がリストと合っているかを確認します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市名東区藤が丘（藤が丘駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市千種区内山三丁目,駅チカ勤務◎未経験から始める倉庫内スタッフ募集♪,未経験OK｜倉庫内の軽作業スタッフ｜千種駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼千種駅エリアで募集中／
話すより手を動かしたい方へ。倉庫内軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「人と話す仕事は少し苦手」
「自分のペースで進めたい」

倉庫内の作業は、接客も電話対応もありません。
目の前の作業に集中できる環境です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日の担当工程と作業量を確認します。

■ 作業
仕分け・ピッキング・梱包・検品のいずれかを担当します。
工程は日によって変わることがあります。

■ 終わりに
使った資材と作業エリアを片付けて終了です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 手順が決まっているので判断に迷いません
✔ 片手で持てるサイズの商品が中心です
✔ 担当する工程から少しずつ覚えられます
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市千種区内山三丁目（千種駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市東区東大曽根町,未経験OK◎もくもく進める倉庫内の仕分け・ピッキング♪,未経験OK｜倉庫内の軽作業スタッフ｜大曽根駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼大曽根駅エリアで募集中／
まずは1工程から。倉庫内スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

倉庫の仕事は、覚えることが多そうに見えて
実際に担当するのは決まった工程です。

はじめは 1 つの工程から。
慣れてきたら少しずつ範囲を広げていきます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する工程✧】

■ 仕分け：届け先ごとに商品を分ける
■ ピッキング：リストを見て棚から商品を集める
■ 梱包：緩衝材で包んで箱詰めし、ラベルを貼る
■ 検品：数量と品番をリストと照合する

どの工程も、判断の基準はマニュアルにあります。
自分で決めなければならない場面はほとんどありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 経験・資格は必要ありません
✔ 接客や電話対応はありません
✔ 扱うのは片手で持てるサイズの商品が中心です
✔ 立ち作業と座り作業は工程によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市東区東大曽根町（大曽根駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県豊橋市花田町,重いものナシ◎コツコツ作業が好きな方にぴったりの軽作業♪,未経験OK｜倉庫内の軽作業スタッフ｜豊橋駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼豊橋駅エリアで募集中／
もくもく進める倉庫内の軽作業◎
未経験からはじめられます
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事って力がいるのでは？」
「経験がないと難しそう…」

扱うのは片手で持てるサイズの商品が中心です。
手順が決まっているので、覚えてしまえば迷いません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 仕分け
伝票やラベルを見て、届け先ごとに商品を分けます。

■ ピッキング
リストの棚番号を頼りに、指定された商品を集めます。

■ 梱包
商品を緩衝材で包み、指定の箱に詰めてラベルを貼ります。

■ 検品
数量と品番がリストと合っているかを確認します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県豊橋市花田町（豊橋駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市中区栄一丁目,接客なし◎マニュアル通りに進める倉庫内の梱包・検品♪,未経験OK｜倉庫内の軽作業スタッフ｜伏見駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼伏見駅エリアで募集中／
話すより手を動かしたい方へ。倉庫内軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「人と話す仕事は少し苦手」
「自分のペースで進めたい」

倉庫内の作業は、接客も電話対応もありません。
目の前の作業に集中できる環境です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧1日の流れ（例）✧】

■ はじめに
その日の担当工程と作業量を確認します。

■ 作業
仕分け・ピッキング・梱包・検品のいずれかを担当します。
工程は日によって変わることがあります。

■ 終わりに
使った資材と作業エリアを片付けて終了です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨この仕事の特徴✨】

✔ 手順が決まっているので判断に迷いません
✔ 片手で持てるサイズの商品が中心です
✔ 担当する工程から少しずつ覚えられます
✔ もくもく進めたい方に向いています

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区栄一丁目（伏見駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市中区上前津一丁目,手順はシンプル◎はじめての倉庫ワークを応援します♪,未経験OK｜倉庫内の軽作業スタッフ｜上前津駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼上前津駅エリアで募集中／
まずは1工程から。倉庫内スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

倉庫の仕事は、覚えることが多そうに見えて
実際に担当するのは決まった工程です。

はじめは 1 つの工程から。
慣れてきたら少しずつ範囲を広げていきます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧担当する工程✧】

■ 仕分け：届け先ごとに商品を分ける
■ ピッキング：リストを見て棚から商品を集める
■ 梱包：緩衝材で包んで箱詰めし、ラベルを貼る
■ 検品：数量と品番をリストと照合する

どの工程も、判断の基準はマニュアルにあります。
自分で決めなければならない場面はほとんどありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめやすいポイント✨】

✔ 経験・資格は必要ありません
✔ 接客や電話対応はありません
✔ 扱うのは片手で持てるサイズの商品が中心です
✔ 立ち作業と座り作業は工程によって変わります

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区上前津一丁目（上前津駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
愛知県名古屋市千種区末盛通,駅チカ勤務◎未経験から始める倉庫内スタッフ募集♪,未経験OK｜倉庫内の軽作業スタッフ｜本山駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼本山駅エリアで募集中／
もくもく進める倉庫内の軽作業◎
未経験からはじめられます
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事って力がいるのでは？」
「経験がないと難しそう…」

扱うのは片手で持てるサイズの商品が中心です。
手順が決まっているので、覚えてしまえば迷いません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 仕分け
伝票やラベルを見て、届け先ごとに商品を分けます。

■ ピッキング
リストの棚番号を頼りに、指定された商品を集めます。

■ 梱包
商品を緩衝材で包み、指定の箱に詰めてラベルを貼ります。

■ 検品
数量と品番がリストと合っているかを確認します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市千種区末盛通（本山駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 手順が決まっています
仕分け・ピッキング・梱包・検品のいずれも、
作業の基準はマニュアルにあります。
自分で判断しなければならない場面はほとんどありません。

✅ ② 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

✅ ③ 1 工程からはじめられます
最初から全工程を覚える必要はありません。
担当する工程から順に慣れていけます。

✅ ④ 扱うのは片手で持てるサイズが中心
大型の荷物を一人で運ぶ作業ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 勤務地は駅からのアクセスを確認できます
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
