区,職種,駅名,住所,キャッチコピー,タイトル,仕事内容,アピールポイント
千代田区,インサイドセールス,九段下,東京都千代田区九段南一丁目,訪問なし◎お問い合わせ対応からはじめる営業♪,未経験OK｜インサイドセールス｜千代田区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都千代田区で募集中／
届いたお問い合わせに、順に向き合う。
未経験からはじめるインサイドセールス◎
✦・━━━━━━━━━━━━━━━・✦

「営業は数字に追われるもの？」
「人見知りだと向かないのでは？」

このお仕事は、お問い合わせをくださった方への対応が中心です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ お問い合わせへの一次対応
資料請求や問い合わせをくださった方へ、電話やメールでご連絡します。

■ ヒアリング
困りごとや検討状況をうかがい、必要な情報を整理します。

■ 資料送付・ご案内
ご状況に合った資料をお送りし、内容をご説明します。

■ オンライン商談
画面共有をしながら、疑問点にお答えします。

■ 記録
やり取りの内容を所定のフォーマットに入力します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 訪問・飛び込み・テレアポはありません
✔ 話す順番はトークスクリプトにあります
✔ お問い合わせをくださった方への対応が中心です
✔ パソコンの基本操作ができれば始められます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都千代田区九段南一丁目（九段下駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼このお仕事の特徴✼》

✅ ① 訪問営業ではありません
商談は電話とオンラインで進めます。
移動がないぶん、1 日の流れが読みやすい仕事です。

✅ ② 反響への対応が中心です
資料請求やお問い合わせをくださった方へご連絡します。
こちらから売り込む場面はほとんどありません。

✅ ③ 話す順番が決まっています
確認する項目と流れはトークスクリプトにあります。
毎回ゼロから考える必要はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
中央区,インサイドセールス,築地,東京都中央区築地一丁目,内勤メイン◎お問い合わせ対応からはじめる営業◎,未経験歓迎｜インサイドセールス｜中央区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都中央区で募集中／
外まわりのない営業という選択。
内勤中心のインサイドセールス募集◎
✦・━━━━━━━━━━━━━━━・✦

「営業は数字に追われるもの？」
「人見知りだと向かないのでは？」

このお仕事は、お問い合わせをくださった方への対応が中心です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ お問い合わせへの一次対応
資料請求や問い合わせをくださった方へ、電話やメールでご連絡します。

■ ヒアリング
困りごとや検討状況をうかがい、必要な情報を整理します。

■ 資料送付・ご案内
ご状況に合った資料をお送りし、内容をご説明します。

■ オンライン商談
画面共有をしながら、疑問点にお答えします。

■ 記録
やり取りの内容を所定のフォーマットに入力します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 訪問・飛び込み・テレアポはありません
✔ 話す順番はトークスクリプトにあります
✔ お問い合わせをくださった方への対応が中心です
✔ パソコンの基本操作ができれば始められます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都中央区築地一丁目（築地駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼ここがはじめやすい✼》

✅ ① 訪問営業ではありません
商談は電話とオンラインで進めます。
移動がないぶん、1 日の流れが読みやすい仕事です。

✅ ② 反響への対応が中心です
資料請求やお問い合わせをくださった方へご連絡します。
こちらから売り込む場面はほとんどありません。

✅ ③ 話す順番が決まっています
確認する項目と流れはトークスクリプトにあります。
毎回ゼロから考える必要はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
港区,インサイドセールス,御成門,東京都港区芝公園一丁目,未経験OK◎お問い合わせ対応からはじめる営業！,経験不問｜インサイドセールス｜港区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都港区で募集中／
まずは話を聞くところから。
オンライン商談のインサイドセールス◎
✦・━━━━━━━━━━━━━━━・✦

「営業は数字に追われるもの？」
「人見知りだと向かないのでは？」

このお仕事は、お問い合わせをくださった方への対応が中心です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ リストの確認
その日に連絡する先と、前回までのやり取りを確認します。

■ 電話・メールでの連絡
決まった流れに沿ってご連絡し、ご要望をうかがいます。

■ 提案内容の準備
うかがった内容をもとに、ご案内する資料を用意します。

■ オンライン商談
日程を調整し、画面越しにご説明します。

■ 引き継ぎ・記録
進んだ案件は所定の手順で引き継ぎます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 訪問・飛び込み・テレアポはありません
✔ 話す順番はトークスクリプトにあります
✔ お問い合わせをくださった方への対応が中心です
✔ パソコンの基本操作ができれば始められます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都港区芝公園一丁目（御成門駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼働き方のポイント✼》

✅ ① 訪問営業ではありません
商談は電話とオンラインで進めます。
移動がないぶん、1 日の流れが読みやすい仕事です。

✅ ② 反響への対応が中心です
資料請求やお問い合わせをくださった方へご連絡します。
こちらから売り込む場面はほとんどありません。

✅ ③ 話す順番が決まっています
確認する項目と流れはトークスクリプトにあります。
毎回ゼロから考える必要はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
新宿区,インサイドセールス,新宿,東京都新宿区歌舞伎町一丁目,オンライン完結◎お問い合わせ対応からはじめる営業☆,はじめてOK｜インサイドセールス｜新宿区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都新宿区で募集中／
飛び込みもテレアポもありません。
反響対応からはじめる内勤営業◎
✦・━━━━━━━━━━━━━━━・✦

「営業は数字に追われるもの？」
「人見知りだと向かないのでは？」

このお仕事は、お問い合わせをくださった方への対応が中心です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ リストの確認
その日に連絡する先と、前回までのやり取りを確認します。

■ 電話・メールでの連絡
決まった流れに沿ってご連絡し、ご要望をうかがいます。

■ 提案内容の準備
うかがった内容をもとに、ご案内する資料を用意します。

■ オンライン商談
日程を調整し、画面越しにご説明します。

■ 引き継ぎ・記録
進んだ案件は所定の手順で引き継ぎます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 営業経験は必要ありません
✔ 商談はオンラインと電話で進めます
✔ 確認する項目は決まっています
✔ やり取りの記録はフォーマットに沿って入力します

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都新宿区歌舞伎町一丁目（新宿駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼仕事のすすめ方✼》

✅ ① 訪問営業ではありません
商談は電話とオンラインで進めます。
移動がないぶん、1 日の流れが読みやすい仕事です。

✅ ② 反響への対応が中心です
資料請求やお問い合わせをくださった方へご連絡します。
こちらから売り込む場面はほとんどありません。

✅ ③ 話す順番が決まっています
確認する項目と流れはトークスクリプトにあります。
毎回ゼロから考える必要はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
文京区,インサイドセールス,春日,東京都文京区春日一丁目,テレアポなし◎お問い合わせ対応からはじめる営業✨,未経験OK｜内勤営業（インサイドセールス）｜文京区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都文京区で募集中／
届いたお問い合わせに、順に向き合う。
未経験からはじめるインサイドセールス◎
✦・━━━━━━━━━━━━━━━・✦

「外まわりは体力的にきつい」
「移動時間がもったいない」

商談はオンラインと電話で進めます。訪問はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 反響対応（問い合わせ・資料請求への連絡）

■ ヒアリング（検討状況・ご要望の確認）

■ 資料のご案内（ご状況に合わせた内容で）

■ オンライン商談（画面共有でのご説明）

■ 記録・引き継ぎ（所定のフォーマットに入力）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 営業経験は必要ありません
✔ 商談はオンラインと電話で進めます
✔ 確認する項目は決まっています
✔ やり取りの記録はフォーマットに沿って入力します

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都文京区春日一丁目（春日駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼このお仕事の特徴✼》

✅ ① パソコンの基本操作からはじめられます
入力と資料の送付ができれば取りかかれます。
専門的なツールの経験は問いません。

✅ ② 記録の形式が決まっています
やり取りの内容は所定のフォーマットに入力します。
何を書けばよいかで迷いません。

✅ ③ 対面が苦手でも進めやすい仕事です
メールやチャットでのやり取りも多く、
考える時間を取りながら返答できます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
台東区,インサイドセールス,上野,東京都台東区東上野四丁目,訪問なし◎オンライン商談のインサイドセールス♪,未経験歓迎｜内勤営業（インサイドセールス）｜台東区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都台東区で募集中／
外まわりのない営業という選択。
内勤中心のインサイドセールス募集◎
✦・━━━━━━━━━━━━━━━・✦

「外まわりは体力的にきつい」
「移動時間がもったいない」

商談はオンラインと電話で進めます。訪問はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 反響対応（問い合わせ・資料請求への連絡）

■ ヒアリング（検討状況・ご要望の確認）

■ 資料のご案内（ご状況に合わせた内容で）

■ オンライン商談（画面共有でのご説明）

■ 記録・引き継ぎ（所定のフォーマットに入力）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 営業経験は必要ありません
✔ 商談はオンラインと電話で進めます
✔ 確認する項目は決まっています
✔ やり取りの記録はフォーマットに沿って入力します

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都台東区東上野四丁目（上野駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼ここがはじめやすい✼》

✅ ① パソコンの基本操作からはじめられます
入力と資料の送付ができれば取りかかれます。
専門的なツールの経験は問いません。

✅ ② 記録の形式が決まっています
やり取りの内容は所定のフォーマットに入力します。
何を書けばよいかで迷いません。

✅ ③ 対面が苦手でも進めやすい仕事です
メールやチャットでのやり取りも多く、
考える時間を取りながら返答できます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
墨田区,インサイドセールス,本所吾妻橋,東京都墨田区吾妻橋一丁目,内勤メイン◎オンライン商談のインサイドセールス◎,経験不問｜内勤営業（インサイドセールス）｜墨田区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都墨田区で募集中／
まずは話を聞くところから。
オンライン商談のインサイドセールス◎
✦・━━━━━━━━━━━━━━━・✦

「外まわりは体力的にきつい」
「移動時間がもったいない」

商談はオンラインと電話で進めます。訪問はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ お問い合わせへの一次対応
資料請求や問い合わせをくださった方へ、電話やメールでご連絡します。

■ ヒアリング
困りごとや検討状況をうかがい、必要な情報を整理します。

■ 資料送付・ご案内
ご状況に合った資料をお送りし、内容をご説明します。

■ オンライン商談
画面共有をしながら、疑問点にお答えします。

■ 記録
やり取りの内容を所定のフォーマットに入力します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 移動がないので 1 日の流れが読めます
✔ メールやチャットでのやり取りも多い仕事です
✔ 一次対応から順に慣れていけます
✔ 分からないことはその場で確認できます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都墨田区吾妻橋一丁目（本所吾妻橋駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼働き方のポイント✼》

✅ ① パソコンの基本操作からはじめられます
入力と資料の送付ができれば取りかかれます。
専門的なツールの経験は問いません。

✅ ② 記録の形式が決まっています
やり取りの内容は所定のフォーマットに入力します。
何を書けばよいかで迷いません。

✅ ③ 対面が苦手でも進めやすい仕事です
メールやチャットでのやり取りも多く、
考える時間を取りながら返答できます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
江東区,インサイドセールス,東陽町,東京都江東区東陽四丁目,未経験OK◎オンライン商談のインサイドセールス！,はじめてOK｜内勤営業（インサイドセールス）｜江東区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都江東区で募集中／
飛び込みもテレアポもありません。
反響対応からはじめる内勤営業◎
✦・━━━━━━━━━━━━━━━・✦

「外まわりは体力的にきつい」
「移動時間がもったいない」

商談はオンラインと電話で進めます。訪問はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ お問い合わせへの一次対応
資料請求や問い合わせをくださった方へ、電話やメールでご連絡します。

■ ヒアリング
困りごとや検討状況をうかがい、必要な情報を整理します。

■ 資料送付・ご案内
ご状況に合った資料をお送りし、内容をご説明します。

■ オンライン商談
画面共有をしながら、疑問点にお答えします。

■ 記録
やり取りの内容を所定のフォーマットに入力します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 移動がないので 1 日の流れが読めます
✔ メールやチャットでのやり取りも多い仕事です
✔ 一次対応から順に慣れていけます
✔ 分からないことはその場で確認できます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都江東区東陽四丁目（東陽町駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼仕事のすすめ方✼》

✅ ① パソコンの基本操作からはじめられます
入力と資料の送付ができれば取りかかれます。
専門的なツールの経験は問いません。

✅ ② 記録の形式が決まっています
やり取りの内容は所定のフォーマットに入力します。
何を書けばよいかで迷いません。

✅ ③ 対面が苦手でも進めやすい仕事です
メールやチャットでのやり取りも多く、
考える時間を取りながら返答できます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
品川区,インサイドセールス,大井町,東京都品川区広町二丁目,オンライン完結◎オンライン商談のインサイドセールス☆,未経験OK｜オンライン商談の営業｜品川区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都品川区で募集中／
届いたお問い合わせに、順に向き合う。
未経験からはじめるインサイドセールス◎
✦・━━━━━━━━━━━━━━━・✦

「営業の経験がない」
「何を話せばいいか分からない」

話す順番と確認する項目はトークスクリプトに沿って進めます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ リストの確認
その日に連絡する先と、前回までのやり取りを確認します。

■ 電話・メールでの連絡
決まった流れに沿ってご連絡し、ご要望をうかがいます。

■ 提案内容の準備
うかがった内容をもとに、ご案内する資料を用意します。

■ オンライン商談
日程を調整し、画面越しにご説明します。

■ 引き継ぎ・記録
進んだ案件は所定の手順で引き継ぎます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 移動がないので 1 日の流れが読めます
✔ メールやチャットでのやり取りも多い仕事です
✔ 一次対応から順に慣れていけます
✔ 分からないことはその場で確認できます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都品川区広町二丁目（大井町駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 1 日の予定が立てやすい仕事です
外まわりがないため、連絡と商談の時間を組み立てられます。

✅ ② 一次対応から順に覚えられます
はじめはお問い合わせへのご連絡から。
慣れてきたら商談まで担当を広げます。

✅ ③ 数字の追い方が見えやすい仕事です
対応件数や商談数など、進み具合が記録に残ります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
目黒区,インサイドセールス,中目黒,東京都目黒区上目黒二丁目,テレアポなし◎オンライン商談のインサイドセールス✨,未経験歓迎｜オンライン商談の営業｜目黒区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都目黒区で募集中／
外まわりのない営業という選択。
内勤中心のインサイドセールス募集◎
✦・━━━━━━━━━━━━━━━・✦

「営業の経験がない」
「何を話せばいいか分からない」

話す順番と確認する項目はトークスクリプトに沿って進めます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ リストの確認
その日に連絡する先と、前回までのやり取りを確認します。

■ 電話・メールでの連絡
決まった流れに沿ってご連絡し、ご要望をうかがいます。

■ 提案内容の準備
うかがった内容をもとに、ご案内する資料を用意します。

■ オンライン商談
日程を調整し、画面越しにご説明します。

■ 引き継ぎ・記録
進んだ案件は所定の手順で引き継ぎます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 訪問・飛び込み・テレアポはありません
✔ 話す順番はトークスクリプトにあります
✔ お問い合わせをくださった方への対応が中心です
✔ パソコンの基本操作ができれば始められます

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都目黒区上目黒二丁目（中目黒駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼ここがはじめやすい✼》

✅ ① 1 日の予定が立てやすい仕事です
外まわりがないため、連絡と商談の時間を組み立てられます。

✅ ② 一次対応から順に覚えられます
はじめはお問い合わせへのご連絡から。
慣れてきたら商談まで担当を広げます。

✅ ③ 数字の追い方が見えやすい仕事です
対応件数や商談数など、進み具合が記録に残ります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話を丁寧に聞ける方
✔ 決まった流れに沿って進めるのが得意な方
✔ パソコンでの入力が苦にならない方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
